alpha,lambda,cvm,cvsd
0,294.54859318497,0.921276968391018,0.018777497640472
0,268.381707976358,0.857236527213838,0.0171352698399035
0,244.53941673072,0.849989322227886,0.0164784160779918
0,222.815208927237,0.843820572581564,0.0163394812416831
0,203.02091987059,0.837221870580715,0.0161934087489774
0,184.985100898389,0.830178906099654,0.0160404492309934
0,168.551534374878,0.822679599464761,0.0158809763772106
0,153.577880608508,0.81471457831809,0.0157154997748314
0,139.934444973624,0.806277657105606,0.0155446749153786
0,127.503054557659,0.797366304394241,0.0153693105019278
0,116.1760346039,0.787982077077969,0.0151903722073254
0,105.855275884258,0.778130997716981,0.0150089820046387
0,96.4513849240658,0.767823857288228,0.0148264103354062
0,87.8829097185677,0.757076622316531,0.0146440727853951
0,80.0756342346189,0.74590969106459,0.0144634984944064
0,72.9619355869112,0.734348874775836,0.0142863128752171
0,66.4801983208908,0.722424518188067,0.0141142097367207
0,60.5742807291672,0.710171227073572,0.0139489125707235
0,55.1930285789013,0.697627317278851,0.0137921382047816
0,50.2898320383127,0.684834131490872,0.0136455588749516
0,45.822221964614,0.67183525757585,0.013510766457645
0,41.7515020566134,0.658675686252266,0.013389241486774
0,38.0424136858654,0.645400950760395,0.0132823292826058
0,34.6628305032987,0.632056292298083,0.0131912248927228
0,31.5834801761497,0.618685891575975,0.0131169676493316
0,28.7776908450195,0.605332291078388,0.0130604328249523
0,26.2211601049874,0.592038826143855,0.013022434907461
0,23.8917445098059,0.578835749281465,0.0130035432348357
0,21.7692677759618,0.565759800697408,0.0130042740448643
0,19.8353460253615,0.55284157279312,0.0130250851805831
0,18.0732285529728,0.540107797040273,0.013066393006834
0,16.4676527402318,0.52756605032576,0.0131285435968273
0,15.0047118575424,0.515271153365482,0.013211715552116
0,13.6717346108371,0.503240272956015,0.0133162315048775
0,12.4571753888899,0.491432159918141,0.0134426646856681
0,11.3505142607549,0.479914164082138,0.0135907065760006
0,10.3421658571576,0.46867738373182,0.0137607705642478
0,9.42339634661127,0.457728368622126,0.0139529179724522
0,8.58624778714695,0.447074137576737,0.0141671687756198
0,7.82346919842734,0.436717740249582,0.0144034408372176
0,7.12845375722369,0.426661315503984,0.0146616550411363
0,6.49518157227375,0.416906975209546,0.0149415766049559
0,5.91816754286349,0.407464321056457,0.0152426524722723
0,5.39241384950873,0.398320444172447,0.0155647826158376
0,4.91336666523371,0.389480845941978,0.0159073621496507
0,4.47687671250032,0.380948344639231,0.0162698551783109
0,4.07916332415104,0.3727291068064,0.016650834910416
0,3.71678169707868,0.364814518796307,0.0170510818608416
0,3.38659305498982,0.357190645681739,0.0174680168764414
0,3.0857374618261,0.34987719624059,0.0179021092780772
0,2.81160905036628,0.342846936449417,0.0183528425774284
0,2.56183345145099,0.33611879615934,0.0188182427754553
0,2.33424722833294,0.329670692268069,0.019298259060034
0,2.12687913802279,0.323512557856671,0.0197912040239807
0,1.93793305732538,0.317632410703475,0.0202965340044979
0,1.76577242567991,0.312020306997085,0.0208118517933605
0,1.60890607005524,0.306654063305059,0.021330098957828
0,1.46597528912247,0.301525080448806,0.0218481181393997
0,1.33574208483403,0.29672556728226,0.0223575762356671
0,1.21707843947683,0.291953720270439,0.0228769865218211
0,1.10895654532244,0.287567886848146,0.023374916028783
0,1.01043990224831,0.28315466271015,0.0239061228881206
0,0.920675206221636,0.27911453429667,0.024394097894009
0,0.838884958388102,0.275200571254879,0.0248766775274547
0,0.76436073074873,0.271535398575333,0.0253554945577099
0,0.696457030095463,0.268027852729128,0.0258266079606196
0,0.63458570705779,0.264711574789042,0.0262886444674065
0,0.578210861834272,0.261563523513274,0.0267473645735122
0,0.526844202484828,0.258674207241825,0.0271854944537152
0,0.480040815579543,0.255782043254057,0.0276429476624093
0,0.437395312571384,0.253116092364565,0.0280762133290408
0,0.398538318514538,0.250598777123143,0.0285022850079536
0,0.363133272715339,0.248189721130949,0.0289234815275696
0,0.330873513604546,0.245906531516683,0.029331503746953
0,0.301479622581534,0.243775253873506,0.0297248031497154
0,0.274697003824048,0.241723864586577,0.0301088263898916
0,0.250293679100987,0.239787183891689,0.0304759120879865
0,0.228058278487941,0.237952135669443,0.0308254335533879
0,0.207798209582026,0.236202023094326,0.0311607577990186
0,0.189337989358623,0.234540750016498,0.0314756539030771
0,0.172517724221368,0.232968593892557,0.0317726251460896
0,0.157191725080313,0.231471339682,0.0320526994094106
0,0.143227245462727,0.230048121434109,0.0323196381537134
0,0.130503331726648,0.228688686591173,0.0325681224018153
0,0.118909775418306,0.227393684734156,0.0328021021463425
0,0.108346158699218,0.226147772619423,0.0330168069786058
0,0.0987209845749055,0.224945711271329,0.0332114640534056
0,0.0899508843917056,0.22378341637816,0.033385408856631
0,0.0819598957373722,0.222658435309625,0.0335377102261198
0,0.0746788044910022,0.221564709392757,0.0336685274857657
0,0.0680445453234314,0.220498626105354,0.0337771878928921
0,0.061999655455523,0.219459372260102,0.0338635100221751
0,0.0564917769430651,0.21843854318983,0.0339275803551496
0,0.0514732031773047,0.217448645185083,0.0339700253100744
0,0.0469004656731255,0.216436319519566,0.0339842494826746
0,0.0427339575658249,0.215410789784471,0.0339473839775472
0,0.0389375905553994,0.214424461164427,0.033931016157732
0,0.0354784823269541,0.213405056270633,0.0338540307175417
0,0.0323266717398222,0.212397431564842,0.0337587920862934
0,0.0294548593184971,0.211446956102985,0.0336639632375467
0.25,1.17819437273988,0.922180842358633,0.0185380590970717
0.25,1.07352683190543,0.883333051355362,0.0178241284456747
0.25,0.978157666922884,0.82282167303507,0.0163009106288352
0.25,0.891260835708951,0.764692968755849,0.0148912510800599
0.25,0.812083679482362,0.714188603900152,0.0139860894199904
0.25,0.739940403593557,0.670305027738129,0.0134932037303093
0.25,0.674206137499513,0.631890734345738,0.0132888585198336
0.25,0.614311522434035,0.597940260004691,0.0132905383527411
0.25,0.559737779894497,0.567243717296352,0.0134786552713462
0.25,0.510012218230635,0.539498631402311,0.0137597667045745
0.25,0.4647041384156,0.513942438043221,0.0141510324068775
0.25,0.423421103537032,0.490155927898505,0.0146282630180062
0.25,0.385805539696264,0.468318963405014,0.0151724291692731
0.25,0.351531638874272,0.448344282507545,0.0157563161410193
0.25,0.320302536938476,0.430155922266383,0.0163730560297642
0.25,0.291847742347645,0.413612914875721,0.0170183819348508
0.25,0.265920793283564,0.398513066550361,0.0176777182902013
0.25,0.242297122916669,0.384714100587535,0.018344817511204
0.25,0.220772114315606,0.372068135470966,0.0190136922404535
0.25,0.201159328153251,0.360467030490128,0.0196858985722672
0.25,0.183288887858456,0.349703788002201,0.0203670754890654
0.25,0.167006008226454,0.338716360943103,0.0210700913972575
0.25,0.152169654743462,0.327692856965354,0.0216539192196239
0.25,0.138651322013195,0.317360907112246,0.0221949202068371
0.25,0.126333920704599,0.307865912293051,0.0227381534769458
0.25,0.115110763380078,0.299030827897963,0.0232504940970703
0.25,0.10488464041995,0.290867725130331,0.0237619266172804
0.25,0.0955669780392237,0.283380685542793,0.0242595056524513
0.25,0.0870770711038475,0.276513111534972,0.0247295657221515
0.25,0.0793413841014461,0.270182987230918,0.0251825500906952
0.25,0.0722929142118913,0.264362938843538,0.0256208030418095
0.25,0.0658706109609275,0.258945811687081,0.0260441879820438
0.25,0.0600188474301699,0.253918754137151,0.0264316453591417
0.25,0.0546869384433486,0.249280058237883,0.0268064122940188
0.25,0.0498287015555596,0.245037469663367,0.0271735610616976
0.25,0.0454020570430199,0.241176049675749,0.0275325649279675
0.25,0.0413686634286307,0.237612225629242,0.027858259308245
0.25,0.0376935853864452,0.234383756423143,0.0281546727033032
0.25,0.0343449911485879,0.231559633839779,0.0284433057764807
0.25,0.0312938767937094,0.229118991238758,0.0287626830443985
0.25,0.0285138150288948,0.226956201677473,0.0290893440418285
0.25,0.0259807262890951,0.225161456316392,0.0294205205262819
0.25,0.023672670171454,0.223606528649375,0.0297394769155792
0.25,0.021569655398035,0.222195047998915,0.0299795034708484
0.25,0.0196534666609349,0.22091727931437,0.0301868903548541
0.25,0.0179075068500013,0.219569570175854,0.0304587432664517
0.25,0.0163166532966042,0.218260353266522,0.0307259551506788
0.25,0.0148671267883148,0.217037427354632,0.0309821236880282
0.25,0.0135463722199593,0.215803178108449,0.0312036852376295
0.25,0.0123429498473044,0.214619870449525,0.0313873871250556
0.25,0.0112464362014651,0.213534923592774,0.0315736752957013
0.25,0.010247333805804,0.212436626787365,0.0317779288441796
0.25,0.0093369889133318,0.211352622989059,0.0319736675669225
0.25,0.00850751655209117,0.210345235697302,0.0321593439646549
0.25,0.00775173222930153,0.209437810381925,0.0323537634667985
0.25,0.00706308970271965,0.208630216821383,0.0325208436810929
0.25,0.00643562428022097,0.207675952931822,0.0324525897860555
0.25,0.0058639011564899,0.206559551225541,0.0323152639090522
0.25,0.00534296833933614,0.205444076345215,0.032177950561332
0.25,0.00486831375790732,0.204335129429415,0.0320088996126104
0.25,0.00443582618128978,0.203365216124453,0.0318440063154122
0.25,0.00404175960899325,0.202481232696048,0.0316691151401183
0.25,0.00368270082488655,0.201799713871624,0.0315389108166753
0.25,0.00335553983355241,0.201259461090352,0.0314215583276524
0.25,0.00305744292299493,0.200943837008972,0.0313683880606929
0.25,0.00278582812038185,0.200723830236483,0.0313602616383833
0.25,0.00253834282823116,0.200537937715224,0.0313534307778892
0.25,0.00231284344733709,0.200373124138821,0.0313301089280899
0.25,0.00210737680993932,0.200371286014022,0.0313550528258813
0.25,0.00192016326231817,0.200653474159744,0.0314463718234098
0.25,0.00174958125028554,0.201064831502954,0.0315977605237864
0.25,0.00159415327405815,0.201596065970857,0.0318056832239532
0.25,0.00145253309086136,0.202433273116249,0.0321063406159763
0.25,0.00132349405441819,0.203552762719059,0.03251315879357
0.25,0.00120591849032614,0.204888481558358,0.033025815870246
0.25,0.00109878801529619,0.206312667035744,0.0335768945207899
0.25,0.00100117471640395,0.208538041033855,0.0345118215042778
0.25,0.000912233113951764,0.211291656561903,0.0358145695866566
0.25,0.000831192838328104,0.214018708766146,0.0372831739199611
0.25,0.000757351957434492,0.216883537415986,0.0389657753094389
0.25,0.000690070896885472,0.220034143225858,0.0409620901844026
0.25,0.000628766900321255,0.223210215918547,0.0431390594875305
0.25,0.000572908981850907,0.225921270504408,0.0451477510960367
0.25,0.000522013326906592,0.228630022292553,0.0472431979617774
0.25,0.000475639101673226,0.23105594873186,0.0491817268639096
0.25,0.000433384634796872,0.232703558498099,0.0505036769081932
0.25,0.000394883938299623,0.235172612601365,0.0524855588979421
0.25,0.000359803537566823,0.237625306670026,0.0545307943327146
0.25,0.000327839582949489,0.239747581680697,0.0563380742510481
0.25,0.000298715217964009,0.242428378439835,0.0586239806635631
0.25,0.000272178181293726,0.245529051678182,0.0612248220916647
0.25,0.000247998621822092,0.248197994099811,0.0634405226904482
0.25,0.000225967107772261,0.249902915007314,0.0649014084502161
0.25,0.000205892812709219,0.252809378825257,0.0674376054471673
0.25,0.000187601862692502,0.256919239879651,0.0710608929656589
0.25,0.0001709358302633,0.260873827015105,0.0746494671689267
0.25,0.000155750362221598,0.266380029183451,0.0796478826091945
0.25,0.000141913929307817,0.269322089257373,0.0823792300568786
0.25,0.000129306686959289,0.274832484330973,0.0873464136142121
0.25,0.000117819437273989,0.281020103443816,0.0929665675652084
0.5,0.589097186369942,0.921658767634045,0.018673025856807
0.5,0.536763415952716,0.863816354570152,0.0173918177009341
0.5,0.489078833461442,0.798489977537776,0.0156061263691382
0.5,0.445630417854476,0.739212659728361,0.0143457381304286
0.5,0.406041839741181,0.688518178394189,0.0136068596762435
0.5,0.369970201796779,0.644647051022049,0.0132689352984832
0.5,0.337103068749756,0.606750171978343,0.0132396335352045
0.5,0.307155761217017,0.57383752505528,0.0133965247923324
0.5,0.279868889947249,0.544753654875951,0.0136633249761248
0.5,0.255006109115318,0.518776644119286,0.0140048605370109
0.5,0.2323520692078,0.494837345658179,0.0144592556357142
0.5,0.211710551768516,0.472999858356065,0.0149944018724184
0.5,0.192902769848132,0.452977906339942,0.0156527881276323
0.5,0.175765819437136,0.434034542831009,0.0163350160035896
0.5,0.160151268469238,0.41653567051168,0.0170459236754271
0.5,0.145923871173823,0.400532791213997,0.017784062839664
0.5,0.132960396641782,0.385833452205164,0.0185064806380539
0.5,0.121148561458335,0.372345944626592,0.0192288989991577
0.5,0.110386057157803,0.359925933477338,0.0199575193318453
0.5,0.100579664076626,0.348528505083806,0.020691034899955
0.5,0.0916444439292282,0.338042279189712,0.0214358339900482
0.5,0.083503004113227,0.328022337959524,0.0222275903698053
0.5,0.076084827371731,0.317575380757302,0.0229753836866371
0.5,0.0693256610065976,0.307432909197356,0.0235246531288083
0.5,0.0631669603522996,0.297939755492571,0.0239872783089979
0.5,0.0575553816900391,0.289236811539714,0.0244258004043893
0.5,0.052442320209975,0.281347769935397,0.0248637266526901
0.5,0.0477834890196118,0.274181946455711,0.0253067357685947
0.5,0.0435385355519237,0.267643445862992,0.0257356044274177
0.5,0.0396706920507231,0.261644745512987,0.0261201522520202
0.5,0.0361464571059457,0.25619823594967,0.026468096093908
0.5,0.0329353054804638,0.251288887987124,0.0267977947040193
0.5,0.0300094237150849,0.24685379959765,0.0271126930056862
0.5,0.0273434692216743,0.242811986171451,0.0274213196514648
