alpha,lambda,cvm,cvsd
0.25,1.11882053805828,0.953332713228482,0.0791490377932852
0.25,0.927102552983386,0.896888319966602,0.0753730704463097
0.25,0.76823683022481,0.822471355513699,0.0730827982722654
0.25,0.63659389720658,0.755903385998509,0.0733926110211148
0.25,0.52750893216363,0.703252186558699,0.0759820536894444
0.25,0.437116464253684,0.662202714968653,0.080186731207758
0.25,0.362213398999609,0.630059229174209,0.0855470373111664
0.25,0.300145515312156,0.604880279930137,0.0917859562197404
0.25,0.248713412068163,0.5853051436702,0.0986808892390995
0.25,0.206094571422312,0.569155304239695,0.106119190008239
0.25,0.170778777133683,0.554586958076611,0.114008442917032
0.25,0.141514599428787,0.541650828685978,0.121625190667528
0.25,0.11726505007009,0.525879474648809,0.126087598659324
0.25,0.0971708362490228,0.506688097061541,0.126119543206708
0.25,0.0805199111899987,0.489107046926673,0.125830687464986
0.25,0.0667222424784935,0.475015591539048,0.126158968348713
0.25,0.0552889040184614,0.465251420208563,0.127893642040748
0.25,0.0458147507339544,0.458897929869817,0.130475994965055
0.25,0.0379640620858302,0.453238585790917,0.132361485486027
0.25,0.0314586456756297,0.447113974104994,0.13298706334268
0.25,0.0260679793829068,0.442219908579362,0.133748644249776
0.25,0.0216010427185707,0.439045764677846,0.134485123275067
0.25,0.0178995479348689,0.43603423245187,0.134790750651777
0.25,0.0148323310335951,0.431286973400472,0.134181742297309
0.25,0.0122907039155768,0.427024205565521,0.133345265105255
0.25,0.0101846029729395,0.422899788815978,0.132852735952925
0.25,0.00843939764792066,0.419665858041671,0.132867923299728
0.25,0.00699324586819628,0.418017815748335,0.133183782061264
0.25,0.00579490264747673,0.415449973668614,0.133929911903522
0.25,0.00480190419822807,0.415112225800922,0.134562507941743
0.25,0.00397906320980226,0.413585412169439,0.135431390994986
0.25,0.0032972219715346,0.41298452293178,0.136541347959514
0.25,0.00273221915720982,0.412785268369948,0.137415422500914
0.25,0.00226403365847704,0.409844709437318,0.136680240803994
0.25,0.00187607512859675,0.405960172405489,0.134720254019655
0.25,0.00155459609664412,0.405444768704064,0.134697087078169
0.25,0.00128820482019225,0.40488415266956,0.134693983483211
0.25,0.00106746161420888,0.404299913322458,0.134717830793798
0.25,0.000884544351913981,0.403320839594741,0.134807315261136
0.25,0.000732971284482951,0.401949239791099,0.134302103259823
0.25,0.000607371357596812,0.400517794937621,0.133587665187492
0.25,0.000503293885911536,0.399267518399557,0.133658611084416
0.25,0.000417050841182545,0.398721912773765,0.133674982588135
0.25,0.000345586165458883,0.39844860147441,0.133679765888903
0.25,0.000286367478406066,0.398173754772895,0.13367533200503
0.25,0.000237296341361807,0.397893314248823,0.133649172534549
0.25,0.000196633898294319,0.397640632695895,0.133627996908829
0.25,0.000162939258719831,0.397471307275244,0.133647565649726
0.25,0.000135018439152487,0.397430752426442,0.133705803187053
0.25,0.000111882053805829,0.397353295534003,0.133752176208563
0.5,0.559410269029142,0.950654072088911,0.0779990621135094
0.5,0.463551276491693,0.868086721337481,0.0737340044578171
0.5,0.384118415112405,0.780265888284124,0.0723622040700004
0.5,0.31829694860329,0.710926050928215,0.0741150604384669
0.5,0.263754466081815,0.657963187453436,0.0778407896040513
0.5,0.218558232126842,0.618106952498792,0.0827299093901016
0.5,0.181106699499804,0.588269647207857,0.0885217828612082
0.5,0.150072757656078,0.565968998822669,0.0949339118348409
