block,term,coefficient,coef_std
(intercept),(Intercept),-9.36931170995092,
focal,BLUE_t,0,0
focal,GREEN_t,0,0
focal,RED_t,0,0
focal,NIR_t,-5.88667847147907,-0.405983364579908
focal,SWIR1_t,0,0
focal,SWIR2_t,4.98940310246545,0.240568759228032
focal,NBR_t,-7.44643287167153,-1.6653223628593
focal,NBR2_t,-15.1054940247762,-1.40810201700207
focal,NDVI_t,1.53026523699437,0.248498086744673
focal,NDMI_t,-3.48684483842433,-0.593604635914271
focal,NDSI_t,-2.37177489378739,-0.26548434369043
prev,GREEN_med,-0.000766796094051211,-0.0653711096753622
prev,GREEN_wet,0,0
prev,GREEN_dry,0,0
prev,GREEN_sd,0,0
prev,NIR_med,5.57248736338235e-05,0.0235864500346941
prev,NIR_wet,0,0
prev,NIR_dry,0,0
prev,NIR_sd,0,0
prev,SWIR1_med,0,0
prev,SWIR1_wet,0,0
prev,SWIR1_dry,0,0
prev,SWIR1_sd,-1.8565553560544e-05,-0.00553299585842569
prev,SWIR2_med,0,0
prev,SWIR2_wet,0,0
prev,SWIR2_dry,0,0
prev,SWIR2_sd,-0.000523543991940449,-0.119702382628303
prev,NDVI_med,0.000409272967794121,0.405638643504227
prev,NDVI_wet,0.000184188815691471,0.135495311763383
prev,NDVI_dry,7.89953457902013e-05,0.107978329650693
prev,NDVI_sd,-0.000365249066068822,-0.196730509124385
prev,NDWI_med,0.000117337740105774,0.149634364050745
prev,NDWI_wet,0,0
prev,NDWI_dry,0,0
prev,NDWI_sd,-0.000190778673458334,-0.109966378963175
prev,NPV_med,0.0647544072575608,0.143867257972864
prev,NPV_wet,0,0
prev,NPV_dry,0,0
prev,NPV_sd,0,0
prev,NDFI_med,2.30114245970844e-05,0.000740368575414977
prev,NDFI_wet,0,0
prev,NDFI_dry,0,0
prev,NDFI_sd,-0.00294639731454292,-0.0606926774354441
pairs,BLUE_t__NBR_t,0,0
pairs,BLUE_t__NBR2_t,0,0
pairs,BLUE_t__NDMI_t,0,0
pairs,BLUE_t__RED_t,0,0
pairs,BLUE_t__SWIR1_t,0,0
pairs,GREEN_t__NIR_t,0,0
pairs,NBR_t__NBR2_t,12.123690123633,0.930968661830453
pairs,NBR_t__NDMI_t,4.12390228863543,0.359040687227733
