alpha,lambda,cvm,cvsd
0.25,0.77509531678131,0.487108618454842,0.0386703974724299
0.25,0.642277132524345,0.465060093760924,0.0365228653060156
0.25,0.532218304036129,0.418144136948339,0.0310295931210597
0.25,0.441018851220515,0.366185750892676,0.0248780947034842
0.25,0.365447083756555,0.31859439030313,0.0197610051278671
0.25,0.30282508481569,0.279366754881624,0.0161824947723993
0.25,0.250933817971628,0.247363601537388,0.0138636610964752
0.25,0.207934494727023,0.221049958142632,0.0123549959187776
0.25,0.172303416282738,0.199219394562347,0.0114531101363383
0.25,0.142777980640863,0.180938552329229,0.0109464475639947
0.25,0.118311941780837,0.165427269690038,0.0106402143146251
0.25,0.0980383354990948,0.151950260413698,0.0104333405144732
0.25,0.0812387581740278,0.140129948068935,0.010322825854839
0.25,0.0673179098365976,0.129649312888276,0.0102502564807017
0.25,0.0557824994697798,0.120520652843223,0.0102382139651024
0.25,0.0462237650374033,0.112454911816201,0.0102313773892312
0.25,0.0383029888323773,0.104661522015382,0.0101614323924554
0.25,0.0317394948746831,0.0972669626778705,0.0100603079263204
0.25,0.0263007030419645,0.0907110773955704,0.010006906300116
0.25,0.0217938874967211,0.0849822965239177,0.00999105122307174
0.25,0.018059347366566,0.0801617800133605,0.0100197717150656
0.25,0.0149647476777772,0.0761905624334229,0.0100869825262804
0.25,0.012400430010784,0.0729342578735855,0.0101472393685641
0.25,0.0102755267087265,0.0703296943592851,0.0102817291270156
0.25,0.00851474094446149,0.0681511085654604,0.0104427096178786
0.25,0.00705567854635789,0.0662701986593661,0.0106225492248836
0.25,0.00584663703502531,0.0646908770874133,0.0108143891168173
0.25,0.00484477352457826,0.0633623179624211,0.0110324973877183
0.25,0.00401458656725949,0.0620169731323242,0.0112472852574403
0.25,0.00332665814495908,0.0606699881805296,0.0114501979505938
0.25,0.00275661122957851,0.0591403948720114,0.0116199541402158
0.25,0.0022842459729603,0.0581424132834296,0.0117753372057651
0.25,0.00189282391691597,0.0572267211285796,0.011981393842247
0.25,0.00156847485903891,0.0569010213621186,0.0121352786912339
0.25,0.00129970535634686,0.0569602562002198,0.0124208779016952
0.25,0.00107699145037735,0.0569692496021935,0.0126917040895299
0.25,0.000892441181781477,0.0573797746359348,0.0129755608745758
0.25,0.000739514935481115,0.0578248623121988,0.0133257763232523
0.25,0.000612793706704524,0.0582249466818625,0.0135860014216597
0.25,0.000507787076311537,0.0588759630848314,0.0139068265946289
0.25,0.000420774090934565,0.0597720277997007,0.0142853703523962
0.25,0.000348671409457427,0.0606582146637397,0.0146292853597929
0.25,0.000288924043547954,0.0619148519935446,0.0150246417581905
0.25,0.000239414820589964,0.0628774325265206,0.0153743827665649
0.25,0.000198389360796174,0.0636686993790547,0.0156862818764422
0.25,0.00016439391003501,0.0645103654416073,0.0159914455707004
0.25,0.000136223825451835,0.0653852481414882,0.0162962168818498
0.25,0.000112880888451281,0.0662875155029906,0.0166129761981626
0.25,9.35379324085696e-05,0.067199759808168,0.016912585285419
0.25,7.75095316781312e-05,0.0680667231863014,0.0171499347865402
0.5,0.387547658390655,0.486314258227496,0.0389732027942929
0.5,0.321138566262172,0.441809251995449,0.0343688634617273
0.5,0.266109152018064,0.37445688588259,0.026252202707718
0.5,0.220509425610258,0.31495938737685,0.0195941096934366
0.5,0.182723541878278,0.269658314629478,0.015457303084601
0.5,0.151412542407845,0.234485807833186,0.0128113146168125
0.5,0.125466908985814,0.206596451445469,0.0112261678249822
0.5,0.103967247363511,0.184010181908174,0.0103992264588904
0.5,0.0861517081413689,0.165623277637657,0.0100283752005914
0.5,0.0713889903204314,0.150363212356798,0.00991328552146413
0.5,0.0591559708904185,0.137518934284701,0.00993857065747469
0.5,0.0490191677495474,0.126689548412279,0.0100472998548658
0.5,0.0406193790870139,0.117636012476486,0.0101699993539221
0.5,0.0336589549182988,0.109807815290947,0.0102287063102557
0.5,0.0278912497348899,0.102451730618703,0.0101597885695136
0.5,0.0231118825187017,0.0958055768465515,0.0100583155959193
0.5,0.0191514944161887,0.0896215300275913,0.0099923364084585
0.5,0.0158697474373416,0.083572721591187,0.00993692441900362
0.5,0.0131503515209822,0.077869835443716,0.00986364865289831
0.5,0.0108969437483605,0.0726954787576308,0.00980857274422934
0.5,0.009029673683283,0.0682017747980967,0.0098093415131717
0.5,0.0074823738388886,0.0644840986234961,0.00985418190237053
0.5,0.006200215005392,0.0617559662441772,0.00994038941781287
0.5,0.00513776335436325,0.0600162704359936,0.0100525263928167
0.5,0.00425737047223075,0.0592265456129397,0.0102621415256037
0.5,0.00352783927317894,0.0589070117511091,0.0105386323531439
0.5,0.00292331851751265,0.0585333794537644,0.0108333940926571
0.5,0.00242238676228913,0.0581533584183242,0.0111265375769661
0.5,0.00200729328362975,0.0570944232777876,0.0113392751337504
0.5,0.00166332907247954,0.0563413255586141,0.0115635609213156
0.5,0.00137830561478925,0.0557524441655554,0.0117994432334794
0.5,0.00114212298648015,0.0553358828274622,0.0120302341944563
0.5,0.000946411958457984,0.0552387707540411,0.0122336906390619
0.5,0.000784237429519456,0.0550814130730489,0.0124051060028584
0.5,0.000649852678173432,0.0555276798058195,0.0126838655965139
0.5,0.000538495725188676,0.056525833284604,0.0130650258502719
0.5,0.000446220590890739,0.0573189532539534,0.0133420096316485
0.5,0.000369757467740557,0.0577104310309593,0.013610896164859
0.5,0.000306396853352262,0.0582321301380528,0.0138958953472502
0.5,0.000253893538155768,0.05889779971426,0.0142284156666832
0.5,0.000210387045467283,0.0601193796987233,0.0146504655228117
0.5,0.000174335704728714,0.061363117596859,0.0150818400276895
0.5,0.000144462021773977,0.0624842673321181,0.0154870336981492
0.5,0.000119707410294982,0.0634624375622872,0.0158794726287285
0.5,9.91946803980872e-05,0.0643824389068548,0.0162556327861783
0.5,8.21969550175052e-05,0.065467424465408,0.0166370827466277
0.5,6.81119127259173e-05,0.0665718359903272,0.0170088488139832
0.5,5.64404442256404e-05,0.067435069978987,0.0173097303176553
0.5,4.67689662042848e-05,0.0683272573238229,0.0175664981803156
0.5,3.87547658390656e-05,0.069084415790056,0.0177540119300522
0.75,0.25836510559377,0.485503506551248,0.0392832616970918
0.75,0.214092377508115,0.417895397228116,0.0322771407843853
0.75,0.177406101345376,0.337605416808182,0.0225923905816647
0.75,0.147006283740172,0.280677361613154,0.0164961408014161
0.75,0.121815694585518,0.240003820839609,0.0132537600598677
0.75,0.100941694938563,0.208789352306322,0.011348613672026
0.75,0.0836446059905427,0.183755967876014,0.0102218343274155
0.75,0.0693114982423409,0.163236110618044,0.00960159247498678
0.75,0.0574344720942459,0.146411362508805,0.009346303305844
0.75,0.047592660213621,0.132473176529557,0.00930835298882736
0.75,0.0394373139269457,0.120834891201256,0.00939512936308593
0.75,0.0326794451663649,0.111062858989785,0.00955602989276757
0.75,0.0270795860580093,0.102895677881241,0.00978063397614073
0.75,0.0224393032788658,0.0961759506702716,0.0100395927986838
0.75,0.0185941664899266,0.0906671483425236,0.010166642213038
0.75,0.0154079216791344,0.0851761631059952,0.00988073877292599
0.75,0.0127676629441258,0.0799691300145597,0.00966950974132601
0.75,0.0105798316248944,0.0749103531396417,0.00956374412009187
0.75,0.00876690101398816,0.0702869735642145,0.00951000198137719
0.75,0.00726462916557369,0.0658766764669827,0.00953002021652084
0.75,0.006019782455522,0.0616173723972354,0.00959769210818076
0.75,0.00498824922592573,0.0578951864149064,0.00967729675967727
0.75,0.00413347667026133,0.0549614673716526,0.00979815928994674
0.75,0.0034251755695755,0.052821374922444,0.0099464581085434
0.75,0.00283824698148716,0.0515671154282529,0.0101058955721933
0.75,0.00235189284878596,0.0512458922722023,0.0103285355115077
0.75,0.0019488790116751,0.0520158638528924,0.010594466771304
0.75,0.00161492450819275,0.0530905725237353,0.0108701078124336
0.75,0.00133819552241983,0.0544033562932975,0.0112421231566715
0.75,0.00110888604831969,0.0548364807912756,0.0115440478353001
0.75,0.000918870409859503,0.0545365393076068,0.0117921540644657
0.75,0.000761415324320099,0.0546820027981452,0.0120257464339171
0.75,0.000630941305638655,0.0547329973711545,0.0122996748222829
0.75,0.00052282495301297,0.0552360389996747,0.0125721979525052
0.75,0.000433235118782288,0.0561360057208762,0.0128930961782153
0.75,0.000358997150125784,0.0572249292334105,0.0132127502560476
0.75,0.000297480393927159,0.0583736988933402,0.013562155994591
0.75,0.000246504978493705,0.0597193605015508,0.0139750886737576
0.75,0.000204264568901508,0.0608973749880985,0.0143927542679635
0.75,0.000169262358770512,0.0620211581966125,0.014828365253395
0.75,0.000140258030311522,0.0633537009532031,0.0153379350533619
0.75,0.000116223803152476,0.0649955207176044,0.0159022636821779
0.75,9.63080145159845e-05,0.066501804861096,0.0163435269241238
0.75,7.98049401966546e-05,0.0675606194380154,0.0167274627944591
0.75,6.61297869320581e-05,0.0684742206237882,0.0171076039648623
0.75,5.47979700116701e-05,0.0696655171868202,0.0176102568354843
0.75,4.54079418172782e-05,0.0704570053525268,0.0178892793335541
0.75,3.76269628170936e-05,0.0708725106274722,0.0180759701232582
0.75,3.11793108028565e-05,0.0707944548324426,0.0181674057833572
0.75,2.58365105593771e-05,0.0704092015609082,0.0181973490446379
