alpha,lambda,cvm,cvsd,thresh
0.25,1.0805934384483,1.06316855392366,0.0518408320199063,1e-04
0.25,0.89542594316438,1.02065086204303,0.0502864550795392,1e-04
0.25,0.741988236429753,0.963725760949908,0.0461061124418063,1e-04
0.25,0.614843189660708,0.903485319776739,0.0420565778466088,1e-04
0.25,0.509485365551268,0.845080082974942,0.0385928249998745,1e-04
0.25,0.422181366039285,0.787756632226281,0.0353378009742932,1e-04
0.25,0.349837537802372,0.736419767277554,0.0329352039118839,1e-04
0.25,0.289890347373213,0.688926608176961,0.0319757533386268,1e-04
0.25,0.240215541271147,0.642243734493402,0.0315083044854355,1e-04
0.25,0.199052872201712,0.598593873075639,0.0308624636240454,1e-04
0.25,0.164943723965916,0.559596208131638,0.0298575738059959,1e-04
0.25,0.136679424792094,0.52516558455155,0.0288109482987617,1e-04
0.25,0.113258417551904,0.494757835874746,0.027869001319473,1e-04
0.25,0.0938507691693435,0.467517661397639,0.0271101353025231,1e-04
0.25,0.0777687615990297,0.443755399212517,0.0263698408712154,1e-04
0.25,0.0644425222528949,0.42300905689881,0.0257483476515202,1e-04
0.25,0.0533998303293885,0.405013660465052,0.0252031534526341,1e-04
0.25,0.0442493834741142,0.389221287570694,0.0247505735911091,1e-04
0.25,0.0366669318191002,0.374804816266426,0.0243475174328611,1e-04
0.25,0.0303837880546529,0.36169390701542,0.0241318918759083,1e-04
0.25,0.0251773063834366,0.349307833568728,0.0241702265430165,1e-04
0.25,0.0208629929745829,0.338257654129967,0.0243853260916863,1e-04
0.25,0.0172879683485061,0.329731930829375,0.0245316487407401,1e-04
0.25,0.0143255500293301,0.321994859070177,0.0249129805943882,1e-04
0.25,0.0118707634989726,0.315338890479059,0.0254135019920845,1e-04
0.25,0.00983662238169086,0.308956668423113,0.0260556702943013,1e-04
0.25,0.00815104604588877,0.304049827045566,0.0266856158755545,1e-04
0.25,0.00675430539713148,0.300598306845956,0.0271911897658139,1e-04
0.25,0.00559690635298639,0.29699099117874,0.0280008137629128,1e-04
0.25,0.00463783599974664,0.293752404280878,0.0285681829694865,1e-04
0.25,0.00384310928287534,0.290939849573536,0.0287556737355988,1e-04
0.25,0.0031845647325454,0.289369295746056,0.0292957020297739,1e-04
0.25,0.00263886655031165,0.288265254361567,0.0298957777132936,1e-04
0.25,0.00218667769544372,0.287661827278123,0.0302376901395121,1e-04
0.25,0.00181197466889198,0.285921141439571,0.0311491172172115,1e-04
0.25,0.0015014797139731,0.285233633957336,0.0313849096668805,1e-04
0.25,0.00124419031357173,0.285836546933564,0.0317774982226872,1e-04
0.25,0.00103098931139702,0.285995542576438,0.0319554773189462,1e-04
0.25,0.000854321841779564,0.286130134575086,0.0321352712077097,1e-04
0.25,0.000707927619882539,0.286304103378859,0.0323421799225624,1e-04
0.25,0.000586619105919884,0.286464454796045,0.0325592391395066,1e-04
0.25,0.000486097682538989,0.286727510275491,0.0327827186725836,1e-04
