alpha,lambda,cvm,cvsd,thresh
0.25,0.726328876356483,0.670742300133826,0.0662737355214217,0.005
0.25,0.601867174108464,0.650553505948064,0.0654108085548729,0.005
0.25,0.49873288404345,0.615245636305659,0.0643988609833705,0.005
0.25,0.413271399947579,0.574086702566465,0.0643952608919522,0.005
0.25,0.342454358794099,0.53632986410156,0.0651006058187813,0.005
0.25,0.283772329447315,0.503123002185578,0.0664187926168341,0.005
0.25,0.235145889932656,0.470933257878414,0.0680977592802384,0.005
0.25,0.194851942259179,0.441902071779216,0.0700646634174301,0.005
0.25,0.161462653729767,0.417041171639755,0.0726149456046106,0.005
0.25,0.13379486109911,0.393538853528167,0.0755905669694317,0.005
0.25,0.110868144694874,0.371964279796678,0.0785856590000078,0.005
0.25,0.0918700868412144,0.353593134003878,0.0819131186324129,0.005
0.25,0.0761274835025046,0.337922578640345,0.0854883671633967,0.005
0.25,0.0630824890199646,0.323745826945219,0.0890751618467289,0.005
0.25,0.0522728486200787,0.312000070592263,0.0926428609141672,0.005
0.25,0.0433155182255552,0.302576403687829,0.0962915685373181,0.005
0.25,0.0358930911300616,0.294502460954571,0.100069417085341,0.005
0.25,0.0297425505603402,0.287740628556199,0.103864816522845,0.005
0.25,0.0246459495680909,0.282511775043982,0.107557693422693,0.005
0.25,0.0204226879897396,0.278696387168042,0.111033429130083,0.005
0.25,0.0169231128049639,0.275590626790006,0.114261537321525,0.005
0.25,0.0140232151200379,0.272883206057034,0.117275515927815,0.005
0.25,0.0116202358614059,0.270805297964637,0.120185188821181,0.005
0.25,0.00962902446542084,0.269477485947728,0.123221323314411,0.005
0.25,0.00797902153291192,0.268950353142442,0.126237659736278,0.005
0.25,0.00661175852769937,0.268938579682711,0.1293669346121,0.005
0.25,0.00547878591983841,0.269914233212832,0.132119254327476,0.005
0.25,0.0045399563564921,0.271292528517054,0.134647957543191,0.005
0.25,0.00376200202388287,0.273518042392208,0.136837978927039,0.005
0.25,0.00311735578855524,0.276137118222072,0.139062981833087,0.005
0.25,0.00258317434460301,0.27975947362954,0.14283380870376,0.005
0.25,0.00214052875167892,0.28140840264596,0.14473845716313,0.005
0.25,0.0017737336801664,0.283382213498658,0.146387447013272,0.005
0.25,0.00146979159503883,0.285544771129748,0.148043620794461,0.005
0.25,0.00121793218283148,0.288795265444397,0.150986770221286,0.005
0.25,0.00100923070113044,0.291235441814238,0.152955846604034,0.005
0.25,0.000836291726634805,0.293973988696011,0.154677813769812,0.005
0.25,0.000692987095274096,0.296464043251179,0.156378484830235,0.005
0.25,0.000574238748180441,0.298881845460887,0.158060591780793,0.005
0.25,0.000475838788572843,0.301359301984128,0.159684069774223,0.005
0.25,0.000394300373194815,0.303667091394412,0.161307624708779,0.005
0.25,0.000326734154581788,0.306080579000204,0.16303329566231,0.005
0.25,0.000270745895838984,0.308881755863804,0.164786897881508,0.005
0.25,0.000224351629867041,0.310950858044338,0.166244851737464,0.005
0.25,0.000185907356667493,0.313076881222144,0.167722673718336,0.005
0.25,0.000154050787523036,0.314991004332928,0.169021775449088,0.005
0.25,0.000127653071733537,0.316716984039612,0.17011907559365,0.005
0.25,0.000105778795324696,0.318263769770684,0.171035530791286,0.005
0.25,8.76528342670839e-05,0.319648167504283,0.171814053902521,0.005
0.25,7.26328876356485e-05,0.320737848572902,0.172434854124537,0.005
0.5,0.363164438178242,0.669264855387124,0.0664585405493469,0.005
0.5,0.300933587054232,0.626559642163825,0.0644062625863246,0.005
0.5,0.249366442021725,0.571726261989558,0.0630858158690098,0.005
0.5,0.206635699973789,0.518080918399297,0.064454954900072,0.005
0.5,0.171227179397049,0.478093093769276,0.0665211709865218,0.005
0.5,0.141886164723658,0.445738878557268,0.0689531976588022,0.005
0.5,0.117572944966328,0.419226358424017,0.0715510500737799,0.005
0.5,0.0974259711295893,0.395967365379009,0.0742703510314842,0.005
0.5,0.0807313268648833,0.374285906757722,0.0773229917416413,0.005
0.5,0.0668974305495548,0.354126615296799,0.0806559046131117,0.005
0.5,0.0554340723474368,0.335853075420131,0.0841456011568616,0.005
0.5,0.0459350434206072,0.31992199560583,0.0878186563933352,0.005
0.5,0.0380637417512523,0.307021506149699,0.0915211842962878,0.005
0.5,0.0315412445099823,0.29654162968664,0.0954805002284417,0.005
0.5,0.0261364243100393,0.287417958065182,0.09945909289348,0.005
0.5,0.0216577591127776,0.280184492331154,0.10334603575672,0.005
0.5,0.0179465455650308,0.274703370286584,0.107333933167185,0.005
0.5,0.0148712752801701,0.270692755622685,0.111393801732013,0.005
0.5,0.0123229747840455,0.267841797519544,0.115306561106681,0.005
0.5,0.0102113439948698,0.265902974795551,0.119041356324246,0.005
0.5,0.00846155640248193,0.26487852326087,0.12271273572453,0.005
0.5,0.00701160756001894,0.26427839327659,0.12605020743471,0.005
0.5,0.00581011793070296,0.264278097805081,0.129055788910098,0.005
0.5,0.00481451223271042,0.265075225736308,0.132039293934266,0.005
0.5,0.00398951076645596,0.266198398730155,0.134761643451552,0.005
0.5,0.00330587926384969,0.267903590528122,0.137324327944,0.005
