alpha,lambda,cvm,cvsd
0.25,0.823490221672256,0.65151811085411,0.0524399808904886
0.25,0.682379220705217,0.612449488005389,0.0499330830043951
0.25,0.565448609583589,0.566374757759622,0.0463730592478594
0.25,0.468554903752172,0.515426508836871,0.0430114718626627
0.25,0.388264634679859,0.469478535208393,0.0403085929542266
0.25,0.32173268348253,0.43075476695425,0.0385725217786168
0.25,0.266601462958942,0.398838136500373,0.0375472519174165
0.25,0.220917375513413,0.372178413752602,0.0369527207239839
0.25,0.183061586617214,0.349657244530281,0.0366173509396843
0.25,0.151692660737666,0.330503895283579,0.0364548484624005
0.25,0.125699027015365,0.313835422072466,0.0363576467614079
0.25,0.104159590291148,0.299155570565608,0.0362341201527068
0.25,0.0863110917182646,0.285909425553179,0.0361338804680492
0.25,0.0715210623695377,0.273096986899663,0.0356891151955341
0.25,0.0592654114394066,0.261029142502996,0.0350159183456964
0.25,0.0491098548695236,0.248792802554526,0.0343044425290131
0.25,0.0406945263135732,0.236988507679744,0.0334671696958459
0.25,0.0337212251244872,0.225739938157504,0.0326136752719514
0.25,0.0279428494912121,0.214395757804886,0.0314935951220547
0.25,0.0231546402838591,0.202940613510415,0.0302269757036956
0.25,0.0191869253292698,0.191750053560489,0.0289666832179399
0.25,0.0158991070074019,0.181059565820056,0.0277803496389395
0.25,0.0131746801165269,0.171268746915619,0.0266646905914409
0.25,0.0109171034632323,0.162335535508222,0.0256777685226593
0.25,0.00904637888531429,0.154169127161936,0.0248266398109382
0.25,0.0074962164838209,0.146515336615453,0.0240456239426493
0.25,0.00621168561307234,0.139641754368347,0.0234522666963755
0.25,0.00514726839051782,0.133535406002292,0.0230123670428396
0.25,0.00426524675174595,0.128208980069485,0.0226953987594811
0.25,0.0035343658952762,0.123541843149113,0.0225099680279932
0.25,0.0029287267557447,0.119473023746164,0.0224694924850885
0.25,0.00242686825981399,0.115929476817352,0.022495134981676
0.25,0.00201100684416529,0.112873100616012,0.0225933472214001
0.25,0.00166640628757887,0.110170835781435,0.0227445230251468
0.25,0.00138085552684184,0.107977324276439,0.0229669626540866
0.25,0.00114423595267394,0.106934927402467,0.023245159304186
0.25,0.000948162852623754,0.105093129365076,0.0236216581073458
0.25,0.000785688295315955,0.104326408025727,0.0240097270449506
0.25,0.000651054927630083,0.102875125760877,0.0242465654823758
0.25,0.000539491960512098,0.102657248838534,0.0248816333435263
0.25,0.000447046114091555,0.101924915660566,0.0251133449858181
0.25,0.000370441531574737,0.101946711383012,0.0258507647777537
0.25,0.000306963697904627,0.101693629519773,0.0260681110369815
0.25,0.000254363249797418,0.101824513683755,0.0268158582221862
0.25,0.000210776268624461,0.101656650455222,0.0270580222296074
0.25,0.000174658231684937,0.102055775976603,0.027879637610308
0.25,0.000144729281405302,0.101949011465775,0.0281008443355352
0.25,0.000119928873056955,0.10190854127076,0.0283416607368677
0.25,9.9378193915253e-05,0.101945205578706,0.0286216388608104
0.25,8.23490221672258e-05,0.10206978107468,0.0289038732834932
0.5,0.411745110836128,0.648939213752325,0.0534193921481533
0.5,0.341189610352608,0.575076099536015,0.0481966870195581
0.5,0.282724304791795,0.508999296656526,0.042921163269983
0.5,0.234277451876086,0.457031104267319,0.039886637424345
0.5,0.19413231733993,0.41393353359214,0.0380730237906077
0.5,0.160866341741265,0.378090519158486,0.0368613512777713
