block,term,coefficient,coef_std
(intercept),(Intercept),-34.9298673667826,
focal,BLUE_t,-6.73554733480032,-0.202811629655195
focal,GREEN_t,34.76359033698,1.03724104014043
focal,RED_t,86.8351610831805,3.25343720953872
focal,NIR_t,-65.6183472277939,-4.0543507001517
focal,SWIR1_t,5.43288027853676,0.293504763936403
focal,SWIR2_t,-65.8342467752806,-2.86401323968171
focal,NBR_t,16.6402964178857,2.91232423727279
focal,NBR2_t,302.710740006497,20.6241368661434
focal,NDVI_t,-83.8333507791068,-10.8001103066521
focal,NDMI_t,-23.8671577505506,-3.2437187230876
focal,NDSI_t,-56.3043276391866,-3.01791923243508
prev,GREEN_med,0.000834189396666645,0.0691555824920951
prev,GREEN_wet,-0.000237577606020122,-0.02278047935797
prev,GREEN_dry,0,0
prev,GREEN_sd,-0.00437060975836603,-0.312689770334104
prev,NIR_med,-0.00187947373942439,-0.659174112979107
prev,NIR_wet,-3.06090144742243e-06,-0.00120769324083448
prev,NIR_dry,0.00196934216268494,0.830852500908121
prev,NIR_sd,-0.0133016976865037,-2.08799909509807
prev,SWIR1_med,-0.00344043528270774,-0.901428096673021
prev,SWIR1_wet,6.29660223582737e-05,0.0192417047487915
prev,SWIR1_dry,0,0
prev,SWIR1_sd,-0.00876456541577549,-1.23771653616332
prev,SWIR2_med,0.000764225783466246,0.139757071023345
prev,SWIR2_wet,-0.00275831138546759,-0.528965943833317
prev,SWIR2_dry,0,0
prev,SWIR2_sd,0,0
prev,NDVI_med,0.00951856700502126,6.02458810318344
prev,NDVI_wet,0,0
prev,NDVI_dry,-0.000691294020325717,-0.580782958250511
prev,NDVI_sd,-0.00315607775916132,-1.22808733355659
prev,NDWI_med,-0.00823837179698942,-5.28810406799739
prev,NDWI_wet,-0.000328542318441806,-0.262797262292852
prev,NDWI_dry,0,0
prev,NDWI_sd,0.00022257952540876,0.0891399852974324
prev,NPV_med,-2.14396900196256,-4.60280454642222
prev,NPV_wet,0.220510814201121,0.546212007167789
prev,NPV_dry,0.175351781525612,0.419996276875894
prev,NPV_sd,0.0914319772886878,0.0701425681654265
prev,NDFI_med,-0.108808246565892,-1.45264434676816
prev,NDFI_wet,0.0415268828558979,0.523916258478226
prev,NDFI_dry,0,0
prev,NDFI_sd,0.226735806563388,2.31144824544965
pairs,BLUE_t__NBR_t,0,0
pairs,BLUE_t__NBR2_t,0,0
pairs,BLUE_t__NDMI_t,0,0
pairs,BLUE_t__RED_t,0,0
pairs,BLUE_t__SWIR1_t,0.111634235415355,0.00222704021000404
pairs,GREEN_t__NIR_t,0,0
pairs,NBR_t__NBR2_t,59.4106226823459,4.05286681757046
pairs,NBR_t__NDMI_t,-0.0744423958672919,-0.00481240853132364
pairs,NBR2_t__NDSI_t,94.2487699044119,3.47916006047823
pairs,NBR2_t__NDVI_t,-1.7284694428174,-0.123344658913469
pairs,NDMI_t__NDSI_t,-49.2080875717379,-3.62915072473154
pairs,NDVI_t__NDMI_t,-7.92464038284157,-0.717805844021996
pairs,NDVI_t__NDSI_t,-12.2757366878598,-0.873451165062733
pairs,NIR_t__NBR_t,11.4861754552677,0.757898310707205
pairs,NIR_t__NDSI_t,11.9411409722385,0.397813913204283
pairs,NIR_t__SWIR1_t,-26.2327962510622,-0.676467318303681
pairs,NIR_t__SWIR2_t,-15.7241947464032,-0.27150010013504
pairs,SWIR1_t__NDMI_t,0,0
pairs,SWIR1_t__NDSI_t,145.53788661903,5.20794129212368
pairs,SWIR1_t__NDVI_t,-1.17859470551723,-0.0344204559426744
pairs,SWIR1_t__SWIR2_t,-6.61219016565382,-0.13735414002057
pairs,SWIR2_t__NDVI_t,-0.779462324674604,-0.0117830561239414
sameband,GREEN_med__GREEN_t,-0.0480370877031881,-1.18488869498514
sameband,GREEN_sd__GREEN_t,-0.0019641707293551,-0.0133626165702706
sameband,NIR_med__NIR_t,0.00671719328149707,1.7064212447706
sameband,NIR_sd__NIR_t,0.045742991654364,2.6517571178286
sameband,SWIR1_med__SWIR1_t,0.0137138392035283,2.367110444358
sameband,SWIR1_sd__SWIR1_t,0.0256883680468367,1.0517949384167
sameband,SWIR2_med__SWIR2_t,-0.00558594243338178,-0.384947016285355
sameband,SWIR2_sd__SWIR2_t,0,0
sameband,NDVI_med__NDVI_t,0,0
sameband,NDVI_sd__NDVI_t,0.00178123741412167,0.469837424436532
cross_idx,NDVI_med__NBR_t,-0.00244017425731637,-7.24275998802567
cross_idx,NDVI_med__NBR2_t,-0.0183642425439558,-21.5379115121524
cross_idx,NDVI_sd__NBR_t,0.000128016992741307,0.0261978352213281
cross_idx,NDVI_sd__NBR2_t,0.00554995261778289,0.709742738696212
cross_idx,NDWI_med__NBR_t,0,0
cross_idx,NDWI_med__NBR2_t,0,0
