alpha,lambda,cvm,cvsd,thresh
0.25,0.41848319308836,0.52021830854799,0.0565998484169238,1e-04
0.25,0.346773073513821,0.506348089647269,0.0549858875725065,1e-04
0.25,0.287351001187834,0.478756278991101,0.0514399304957525,1e-04
0.25,0.238111330406857,0.448259565208757,0.0471012971446611,1e-04
0.25,0.197309233076456,0.421015520221551,0.0434284089685798,1e-04
0.25,0.163498870006305,0.396195473875663,0.0404142325764717,1e-04
0.25,0.135482157000632,0.3725541061653,0.0377361772574445,1e-04
0.25,0.112266310249338,0.351583552619553,0.035412169850951,1e-04
0.25,0.0930286666231755,0.33193940225469,0.0337611683698388,1e-04
0.25,0.0770875322656022,0.31361892627105,0.0324667224478767,1e-04
0.25,0.0638780264890936,0.296861294549785,0.0310576508354599,1e-04
0.25,0.0529320649944075,0.281583535788152,0.0297066922825197,1e-04
0.25,0.0438617731098902,0.267346827761622,0.0282536279282852,1e-04
0.25,0.0363457412921024,0.253960201687522,0.0266196178997502,1e-04
0.25,0.0301176358457468,0.241297763229756,0.0247893506186449,1e-04
0.25,0.0249567612790472,0.230144437182946,0.0230455603645333,1e-04
0.25,0.0206802398677421,0.219533930593574,0.0212913848485395,1e-04
0.25,0.0171365313073058,0.209832666407805,0.0197025265484893,1e-04
0.25,0.014200062819597,0.201224863925498,0.0184676038483113,1e-04
0.25,0.0117667794295416,0.193761054131988,0.0176181808096917,1e-04
0.25,0.0097504567340648,0.18723922877613,0.0171385309406667,1e-04
0.25,0.00807964550471508,0.181478217968172,0.0169055463388373,1e-04
0.25,0.00669513985470999,0.176177231184502,0.0167866661705076,1e-04
0.25,0.0055478792538568,0.171341324763097,0.0167699777088358,1e-04
0.25,0.00459721004837888,0.167146334848701,0.0168579054578995,1e-04
0.25,0.00380944488188409,0.163543269697906,0.0170821553408212,1e-04
0.25,0.00315666896996152,0.160537293630198,0.0174294798241526,1e-04
0.25,0.00261575092825325,0.158248014119236,0.0178947822103698,1e-04
0.25,0.00216752310228499,0.156503339826537,0.0184386535679377,1e-04
0.25,0.00179610235370402,0.155106729053728,0.0190537965750577,1e-04
0.25,0.00148832723470413,0.154178459408846,0.0197407229836166,1e-04
0.25,0.00123329160668037,0.153714072488868,0.0201636146607985,1e-04
0.25,0.00102195817669803,0.153716169685132,0.020959167914213,1e-04
0.25,0.000846838257280575,0.153552999441847,0.0214064675376755,1e-04
0.25,0.000701726401672404,0.154350415438011,0.0222781430453113,1e-04
0.25,0.000581480511267161,0.154576081853122,0.0227542307101667,1e-04
0.25,0.00048183962321738,0.154786672413457,0.0232767396911416,1e-04
0.25,0.000399272921454106,0.156132557980163,0.0242571257131102,1e-04
0.25,0.000330854620759521,0.157024557675979,0.0247714614134573,1e-04
0.25,0.000274160290357955,0.157402003983666,0.0252423680112561,1e-04
0.25,0.000227180943208861,0.157814578047655,0.0257055388718191,1e-04
